REQ_ID,Description,Type,Priority,Status,Domain,Feature,Verification_Method,Verification_Criteria,Verification_Status,Traces_To_Arch,Traces_To_SW,Traces_To_Test,Phase,Rationale
SYS-REQ-001,The system shall capture Ethernet packets on the Raspberry Pi interface at a minimum rate of 100 packets per second,Functional,Critical,Created,System,01_Network_Traffic_Capture,Test,System successfully captures 100+ packets/second in test environment for 60 seconds continuous operation,Not Tested,ARCH-001,"SW-REQ-001, SW-REQ-002",TC-SYS-001,Phase 1,Minimum throughput needed for real-time detection of typical network attacks
SYS-REQ-002,"The system shall parse captured packets and extract source IP, destination IP, source port, destination port, protocol, packet length, and TCP flags",Functional,Critical,Created,System,01_Network_Traffic_Capture,Test,All specified fields extracted correctly for 100 test packets with 100% accuracy,Not Tested,ARCH-001,"SW-REQ-003, SW-REQ-004",TC-SYS-002,Phase 1,Required packet metadata for ML feature engineering
SYS-REQ-003,The system shall store captured packet data in PCAP format for offline analysis,Functional,High,Created,System,01_Network_Traffic_Capture,Test,Generated PCAP files can be opened in Wireshark and contain all captured packets,Not Tested,ARCH-001,SW-REQ-005,TC-SYS-003,Phase 1,Enable post-analysis and debugging of detection results
SYS-REQ-004,The system shall continue capturing packets even when storage is >80% full by implementing circular buffer mechanism,Non-Functional,Medium,Created,System,01_Network_Traffic_Capture,Test,System operates continuously for 24 hours with limited storage without crashes,Not Tested,ARCH-001,SW-REQ-006,TC-SYS-004,Phase 1,Prevent system failure due to storage limitations
SYS-REQ-005,The system shall detect port scanning attacks with minimum 90% accuracy and maximum 5% false positive rate,Performance,Critical,Created,System,02_ML_IDS,Test,Detection accuracy ≥90% and false positive rate ≤5% on validation dataset of 1000 samples,Not Tested,ARCH-002,"SW-REQ-010, SW-REQ-011",TC-SYS-010,Phase 1,Industry standard for IDS performance
SYS-REQ-006,The system shall detect DoS (Denial of Service) attacks with minimum 90% accuracy and maximum 5% false positive rate,Performance,Critical,Created,System,02_ML_IDS,Test,Detection accuracy ≥90% and false positive rate ≤5% on validation dataset of 1000 samples,Not Tested,ARCH-002,SW-REQ-012,TC-SYS-011,Phase 1,Critical attack type for network security
SYS-REQ-007,The system shall detect data exfiltration attempts with minimum 85% accuracy,Performance,High,Created,System,02_ML_IDS,Test,Detection accuracy ≥85% on validation dataset of 500 samples,Not Tested,ARCH-002,SW-REQ-013,TC-SYS-012,Phase 1,"Data exfiltration patterns are more subtle, 85% accuracy is acceptable"
SYS-REQ-008,"The system shall extract network flow features including packet count, byte count, average packet size, inter-arrival time statistics, and protocol distribution within configurable time windows",Functional,Critical,Created,System,02_ML_IDS,Test,All specified features extracted correctly and values match manual calculation for 10 sample flows,Not Tested,ARCH-002,"SW-REQ-014, SW-REQ-015",TC-SYS-013,Phase 1,Essential features for ML-based attack detection
SYS-REQ-009,The system shall process network traffic and generate attack alerts with maximum latency of 100ms from packet arrival to alert generation,Performance,High,Created,System,02_ML_IDS,Test,95% of alerts generated within 100ms measured over 1000 detections,Not Tested,ARCH-002,SW-REQ-016,TC-SYS-014,Phase 1,Real-time detection requirement for effective threat response
SYS-REQ-010,The system shall support training and updating ML models without system restart,Functional,Medium,Created,System,02_ML_IDS,Demonstration,Successfully load new model and detect attacks without service interruption,Not Tested,ARCH-002,SW-REQ-017,TC-SYS-015,Phase 2,Enable model improvements without downtime
SYS-REQ-011,"The STM32 gateway shall detect malformed Ethernet packets (invalid length, corrupted headers, invalid checksums) with minimum 85% accuracy",Performance,Critical,Created,Hardware,03_TinyML_Fuzzing_Detection,Test,Detection accuracy ≥85% on test set of 500 malformed packets,Not Tested,ARCH-003,"SW-REQ-020, SW-REQ-021",TC-SYS-020,Phase 1,Fuzzing detection at edge provides first line of defense
SYS-REQ-012,The TinyML model on STM32 shall have maximum size of 100KB including weights and architecture,Non-Functional,Critical,Created,Hardware,03_TinyML_Fuzzing_Detection,Inspection,Compiled model binary size ≤100KB verified by checking file size,Not Tested,ARCH-003,SW-REQ-022,TC-SYS-021,Phase 1,STM32H755 flash memory constraint
SYS-REQ-013,The STM32 shall perform fuzzing detection inference with maximum latency of 10ms per packet,Performance,High,Created,Hardware,03_TinyML_Fuzzing_Detection,Test,95% of inferences complete within 10ms measured over 1000 packets,Not Tested,ARCH-003,SW-REQ-023,TC-SYS-022,Phase 1,Real-time processing requirement for gateway operation
SYS-REQ-014,The STM32 TinyML model shall use maximum 50KB RAM during inference,Non-Functional,High,Created,Hardware,03_TinyML_Fuzzing_Detection,Test,Peak RAM usage ≤50KB measured during inference execution,Not Tested,ARCH-003,SW-REQ-024,TC-SYS-023,Phase 1,"STM32H755 has 1MB RAM, leave headroom for other functions"
SYS-REQ-015,The system shall simulate port scanning attacks targeting configurable port ranges at configurable rates (1-1000 ports/second),Functional,High,Created,System,04_Attack_Simulation,Test,Generated traffic matches expected port scan pattern verified by packet analysis,Not Tested,ARCH-004,SW-REQ-030,TC-SYS-030,Phase 1,Required for testing detection capabilities
SYS-REQ-016,The system shall simulate DoS attacks by generating high-rate traffic (up to 1000 packets/second) to target IP addresses,Functional,High,Created,System,04_Attack_Simulation,Test,Traffic rate measured at receiver matches configured rate ±5%,Not Tested,ARCH-004,SW-REQ-031,TC-SYS-031,Phase 1,Test system resilience to high traffic loads
SYS-REQ-017,"The system shall simulate fuzzing attacks by generating packets with randomized fields (invalid lengths, corrupted headers, random payloads)",Functional,High,Created,System,04_Attack_Simulation,Test,Generated packets contain expected malformations verified by manual inspection of 10 sample packets,Not Tested,ARCH-004,SW-REQ-032,TC-SYS-032,Phase 1,Test fuzzing detection capability of STM32
SYS-REQ-018,The system shall simulate data exfiltration by generating sustained high-volume upload traffic to external IP addresses,Functional,Medium,Created,System,04_Attack_Simulation,Test,Traffic pattern matches expected exfiltration signature verified by IDS detection,Not Tested,ARCH-004,SW-REQ-033,TC-SYS-033,Phase 1,Test data exfiltration detection
